event,pace,distance
Half,5.7,21.1
Half,5.733333333,21.1
Half,5.733333333,21.1
Half,5.733333333,21.1
Half,5.716666667,21.1
Half,5.716666667,21.1
Half,5.716666667,21.1
Half,5.733333333,21.1
Half,5.733333333,21.1
Half,5.766666667,21.1
Half,5.733333333,21.1
Half,5.716666667,21.1
Half,5.716666667,21.1
Half,5.766666667,21.1
Half,5.783333333,21.1
Half,5.75,21.1
Half,5.75,21.1
Half,5.75,21.1
Half,5.75,21.1
Half,5.75,21.1
Half,5.766666667,21.1
Half,5.733333333,21.1
Half,5.733333333,21.1
Half,5.733333333,21.1
Half,5.766666667,21.1
Half,5.8,21.1
Half,5.766666667,21.1
Half,5.766666667,21.1
Half,5.783333333,21.1
Half,5.75,21.1
Half,5.8,21.1
Half,5.816666667,21.1
Half,5.816666667,21.1
Half,5.766666667,21.1
Half,5.8,21.1
Half,5.8,21.1
Half,5.816666667,21.1
Half,5.833333333,21.1
Half,5.816666667,21.1
Half,5.8,21.1
Half,5.816666667,21.1
Half,5.8,21.1
Half,5.816666667,21.1
Half,5.783333333,21.1
Half,5.85,21.1
Half,5.833333333,21.1
Half,5.783333333,21.1
Half,5.866666667,21.1
Half,5.85,21.1
Half,5.816666667,21.1
Half,5.783333333,21.1
Half,5.85,21.1
Half,5.85,21.1
Half,5.8,21.1
Half,5.866666667,21.1
Half,5.866666667,21.1
Half,5.833333333,21.1
Half,5.866666667,21.1
Half,5.85,21.1
Half,5.9,21.1
Half,5.883333333,21.1
Half,5.866666667,21.1
Half,5.883333333,21.1
Half,5.85,21.1
Half,5.883333333,21.1
Half,5.916666667,21.1
Half,5.916666667,21.1
Half,5.933333333,21.1
Half,5.916666667,21.1
Half,5.966666667,21.1
Half,5.933333333,21.1
Half,5.933333333,21.1
Half,5.933333333,21.1
Half,5.9,21.1
Half,5.95,21.1
Half,6,21.1
Half,5.966666667,21.1
Half,5.966666667,21.1
Half,5.933333333,21.1
Half,5.95,21.1
Half,5.983333333,21.1
Half,6,21.1
Half,5.983333333,21.1
Half,5.95,21.1
Half,5.983333333,21.1
Half,6,21.1
Half,6,21.1
Half,6,21.1
